,id,광역시도,시군구,총인구수,남자인구수,여자인구수,가구수
135,강원특별자치도철원군,강원특별자치도,철원군,42256,21863,20393,20605
136,강원특별자치도화천군,강원특별자치도,화천군,23388,12560,10828,12114
137,강원특별자치도양구군,강원특별자치도,양구군,21383,11215,10168,10609
138,강원특별자치도인제군,강원특별자치도,인제군,32206,17529,14677,16631
139,강원특별자치도고성군,강원특별자치도,고성군,27274,14060,13214,15291
140,강원특별자치도양양군,강원특별자치도,양양군,27866,14228,13638,14948
141,충청북도청주시,충청북도,청주시,849573,429208,420365,393697
142,충청북도서원구,충청북도,서원구,191273,95469,95804,90101
143,충청북도청원구,충청북도,청원구,193824,99822,94002,90682
144,충청북도상당구,충청북도,상당구,196425,97585,98840,87184
145,충청북도흥덕구,충청북도,흥덕구,268051,136332,131719,125730
146,충청북도충주시,충청북도,충주시,208277,105478,102799,100843
147,충청북도제천시,충청북도,제천시,130988,65833,65155,65436
148,충청북도보은군,충청북도,보은군,31455,15877,15578,16959
149,충청북도옥천군,충청북도,옥천군,49520,24974,24546,25415
150,충청북도영동군,충청북도,영동군,44956,22486,22470,23794
151,충청북도증평군,충청북도,증평군,37262,19387,17875,18583
152,충청북도진천군,충청북도,진천군,86147,45488,40659,42398
153,충청북도괴산군,충청북도,괴산군,37055,19082,17973,21347
154,충청북도음성군,충청북도,음성군,92058,48849,43209,48292
155,충청북도단양군,충청북도,단양군,27767,14120,13647,15084
156,충청남도당진시,충청남도,당진시,168253,89606,78647,81199
157,충청남도천안시,충청남도,천안시,657559,336716,320843,302893
158,충청남도동남구,충청남도,동남구,255647,129680,125967,119122
159,충청남도서북구,충청남도,서북구,401912,207036,194876,183771
160,충청남도공주시,충청남도,공주시,102571,51231,51340,52394
161,충청남도보령시,충청남도,보령시,97157,49237,47920,49694
162,충청남도아산시,충청남도,아산시,334539,174333,160206,152249
163,충청남도서산시,충청남도,서산시,176413,92011,84402,82433
164,충청남도논산시,충청남도,논산시,112617,56237,56380,58137
165,충청남도계룡시,충청남도,계룡시,44475,22166,22309,18051
166,충청남도금산군,충청남도,금산군,50092,25315,24777,26180
167,충청남도부여군,충청남도,부여군,62343,30970,31373,32945
168,충청남도서천군,충청남도,서천군,49964,24709,25255,26666
169,충청남도청양군,충청남도,청양군,30266,15421,14845,16567
170,충청남도홍성군,충청남도,홍성군,98068,48835,49233,46871
171,충청남도예산군,충청남도,예산군,77385,38848,38537,39605
172,충청남도태안군,충청남도,태안군,61335,30997,30338,33209
173,전라북도전주시,전라북도,전주시,651495,320265,331230,296241
174,전라북도완산구,전라북도,완산구,332573,161835,170738,153551
175,전라북도덕진구,전라북도,덕진구,318922,158430,160492,142690
176,전라북도군산시,전라북도,군산시,262467,132887,129580,123176
177,전라북도익산시,전라북도,익산시,273697,136330,137367,130068
178,전라북도정읍시,전라북도,정읍시,105081,52272,52809,54528
179,전라북도남원시,전라북도,남원시,77948,38246,39702,39799
180,전라북도김제시,전라북도,김제시,81455,40476,40979,43215
181,전라북도완주군,전라북도,완주군,92422,47529,44893,45356
182,전라북도진안군,전라북도,진안군,24550,12496,12054,13513
183,전라북도무주군,전라북도,무주군,23489,11731,11758,12932
184,전라북도장수군,전라북도,장수군,21336,10718,10618,11611
185,전라북도임실군,전라북도,임실군,26508,13586,12922,14992
186,전라북도순창군,전라북도,순창군,26727,13138,13589,14132
187,전라북도고창군,전라북도,고창군,52338,26005,26333,28592
188,전라북도부안군,전라북도,부안군,50094,24913,25181,27694
189,전라남도목포시,전라남도,목포시,216939,107826,109113,104039
190,전라남도여수시,전라남도,여수시,274765,139821,134944,128720
191,전라남도순천시,전라남도,순천시,278737,139014,139723,124828
192,전라남도나주시,전라남도,나주시,116456,58749,57707,59865
193,전라남도광양시,전라남도,광양시,152168,79523,72645,68734
194,전라남도담양군,전라남도,담양군,45792,23168,22624,24787
195,전라남도곡성군,전라남도,곡성군,27060,13386,13674,15512
196,전라남도구례군,전라남도,구례군,24655,12052,12603,13429
197,전라남도고흥군,전라남도,고흥군,61880,30170,31710,35445
198,전라남도보성군,전라남도,보성군,38471,18823,19648,22282
199,전라남도화순군,전라남도,화순군,62024,30643,31381,32093
200,전라남도장흥군,전라남도,장흥군,35650,17402,18248,19788
201,전라남도강진군,전라남도,강진군,33177,16128,17049,18550
202,전라남도해남군,전라남도,해남군,65831,32772,33059,35074
203,전라남도영암군,전라남도,영암군,52395,27359,25036,28353
204,전라남도무안군,전라남도,무안군,90608,45607,45001,43119
205,전라남도함평군,전라남도,함평군,30784,15539,15245,18010
206,전라남도영광군,전라남도,영광군,52197,26081,26116,27549
207,전라남도장성군,전라남도,장성군,43146,22162,20984,23358
208,전라남도완도군,전라남도,완도군,47597,24017,23580,25781
209,전라남도진도군,전라남도,진도군,29507,14684,14823,16578
210,전라남도신안군,전라남도,신안군,37858,20346,17512,21816
211,경상북도포항시,경상북도,포항시,496650,251630,245020,232371
212,경상북도남구,경상북도,남구,227486,117785,109701,109532
213,경상북도북구,경상북도,북구,269164,133845,135319,122839
214,경상북도경주시,경상북도,경주시,249607,124909,124698,124027
215,경상북도김천시,경상북도,김천시,139324,69900,69424,69038
216,경상북도안동시,경상북도,안동시,154610,76447,78163,77759
217,경상북도구미시,경상북도,구미시,408110,209909,198201,184786
218,경상북도영주시,경상북도,영주시,100749,49920,50829,50663
219,경상북도영천시,경상북도,영천시,101088,51406,49682,54431
220,경상북도상주시,경상북도,상주시,94823,46660,48163,49315
221,경상북도문경시,경상북도,문경시,70373,34577,35796,37056
222,경상북도경산시,경상북도,경산시,267725,134746,132979,127392
223,경상북도군위군,경상북도,군위군,23340,11969,11371,13693
224,경상북도의성군,경상북도,의성군,50186,24709,25477,29005
225,경상북도청송군,경상북도,청송군,24295,12168,12127,14038
226,경상북도영양군,경상북도,영양군,16022,7997,8025,9070
227,경상북도영덕군,경상북도,영덕군,34650,16481,18169,19741
228,경상북도청도군,경상북도,청도군,41614,20541,21073,23443
229,경상북도고령군,경상북도,고령군,30353,15572,14781,16758
230,경상북도성주군,경상북도,성주군,42566,22161,20405,23918
231,경상북도칠곡군,경상북도,칠곡군,112487,58821,53666,54443
232,경상북도예천군,경상북도,예천군,55755,27400,28355,28155
233,경상북도봉화군,경상북도,봉화군,30139,15295,14844,16830
234,경상북도울진군,경상북도,울진군,47030,23687,23343,25462
235,경상북도울릉군,경상북도,울릉군,8996,4976,4020,5479
236,경상남도창원시,경상남도,창원시,1021487,517211,504276,456191
237,경상남도의창구,경상남도,의창구,215823,109824,105999,96712
238,경상남도성산구,경상남도,성산구,248512,126737,121775,106194
239,경상남도마산합포구,경상남도,마산합포구,179496,89243,90253,84722
240,경상남도마산회원구,경상남도,마산회원구,183662,91696,91966,82697
241,경상남도진해구,경상남도,진해구,193994,99711,94283,85866
242,경상남도진주시,경상남도,진주시,343782,169862,173920,158827
243,경상남도통영시,경상남도,통영시,122681,61587,61094,59506
244,경상남도사천시,경상남도,사천시,109369,55239,54130,54395
245,경상남도김해시,경상남도,김해시,535129,270652,264477,228540
246,경상남도밀양시,경상남도,밀양시,102945,50636,52309,53674
247,경상남도거제시,경상남도,거제시,236662,123712,112950,103495
248,경상남도양산시,경상남도,양산시,353792,177238,176554,155897
249,경상남도의령군,경상남도,의령군,26061,12893,13168,15098
250,경상남도함안군,경상남도,함안군,61456,31371,30085,30808
251,경상남도창녕군,경상남도,창녕군,58372,29180,29192,32198
252,경상남도고성군,경상남도,고성군,50448,25366,25082,26564
253,경상남도남해군,경상남도,남해군,41579,20190,21389,22774
254,경상남도하동군,경상남도,하동군,42465,21255,21210,23675
255,경상남도산청군,경상남도,산청군,34028,16871,17157,19576
256,경상남도함양군,경상남도,함양군,37708,18270,19438,20868
257,경상남도거창군,경상남도,거창군,60387,29655,30732,30659
258,경상남도합천군,경상남도,합천군,42142,20487,21655,24185
259,제주특별자치도제주시,제주특별자치도,제주시,493389,246504,246885,222599
260,제주특별자치도서귀포시,제주특별자치도,서귀포시,184770,93086,91684,88756
